communication_round,Loss,Accuracy,Time
68,0.020583874882521173,81.75,520.4011454582214
69,0.01615700333198309,81.87,556.4189064502716
70,0.020126169847350477,82.8,541.4960052967072
71,0.02324553050819137,82.78,566.4996194839478
72,0.020195946054568918,83.04,526.3244206905365
73,0.016108407038595653,85.32,534.8256831169128
74,0.01546285105669457,82.27,538.7054574489594
75,0.016332307949609746,85.19,600.9049618244171
76,0.016552110111581888,78.27,571.6966004371643
77,0.019097395417602157,81.99,501.79446387290955
78,0.02220305134649466,84.31,505.2227053642273
79,0.015257063954787925,84.31,524.3138177394867
80,0.01792464466114114,81.73,524.5139427185059
81,0.016181437268938496,85.05,574.9960803985596
82,0.015027232221206482,80.75,526.9333271980286
83,0.02229021190303184,83.03,586.2723369598389
84,0.017356048931331546,80.22,586.799293756485
85,0.0192396739343364,83.09,537.3725123405457
86,0.013248757636845567,82.17,537.6830952167511
87,0.014265470513524028,83.18,599.1664237976074
88,0.01593128477694556,80.71,582.7959780693054
89,0.019518633983280124,85.17,542.7616167068481
90,0.016002435327826997,84.52,558.0208480358124
91,0.016539029999547764,82.16,604.8693895339966
92,0.01676362050839186,83.36,513.6936690807343
93,0.015528966165314522,83.85,518.4919676780701
94,0.011375494215900821,85.81,512.8047859668732
95,0.017722030604565724,84.71,555.3503096103668
96,0.01551442299836155,83.02,562.3608024120331
97,0.011931131264131416,83.36,579.1180508136749
98,0.013167429639504204,83.21,524.5356748104095
99,0.013219736804444927,83.82,603.3131594657898
100,0.014195395056647474,82.85,539.5672714710236
101,0.015894630647381624,85.01,552.2448909282684
102,0.011537606833754797,82.6,515.5300743579865
103,0.01295781640844835,84.39,587.41974568367
104,0.012302394504133273,83.5,657.5766708850861
105,0.016298865079242712,83.65,658.5392830371857
106,0.012950247605431689,79.26,686.6602869033813
107,0.015336061864703718,84.15,706.4444723129272
108,0.01417485921090006,85.31,699.4846196174622
109,0.014497752026368235,78.86,643.6349697113037
110,0.016253369797364532,82.8,669.4960706233978
111,0.013802610419088767,84.05,672.2488555908203
112,0.01454558328085533,79.74,488.14480423927307
113,0.013628810915767902,83.2,536.0111722946167
114,0.009143639659440119,84.47,533.9859230518341
115,0.009511461187940475,85.44,608.6036281585693
116,0.01158613302779344,79.75,526.1490762233734
117,0.00994753021925691,81.79,526.7240285873413
118,0.015208569496008698,85.05,546.4374027252197
119,0.012070040514595322,84.03,554.4314432144165
120,0.009636211404888172,83.22,575.6548008918762
121,0.01255993762756465,83.74,554.8725039958954
